epoch,train_loss,val_loss,val_rmse,val_pearson,lr
1,1.9322561482626175,1.5548421904611935,1.246933102607727,0.894034484927694,0.0005
2,1.5590781358084405,1.4425361322863144,1.2010563611984253,0.9011884666946919,0.0005
3,1.4496953219558375,1.3829194929358937,1.1759759187698364,0.906405743987817,0.0005
4,1.3880945037263026,1.2703004075309547,1.1270760297775269,0.9105781002377098,0.0005
5,1.3387637159175043,1.2498843839854181,1.1179823875427246,0.9121617653288582,0.0005
6,1.3073656291294549,1.2144386066975486,1.102015733718872,0.9146207331715202,0.0005
7,1.2757307811034058,1.2360910731223584,1.111796259880066,0.9164892704596364,0.0005
8,1.2444477373848235,1.1945894787029314,1.0929728746414185,0.9174665196218963,0.0005
9,1.2188030303524457,1.1612372246297387,1.0776071548461914,0.9197642324571192,0.0005
10,1.195287465816123,1.1522463994894554,1.073427438735962,0.9207798624876592,0.0005
11,1.177449145681416,1.0997706756670593,1.0486994981765747,0.9220681203865518,0.0005
12,1.159677646809125,1.138004583955033,1.0667729377746582,0.9227802278414514,0.0005
13,1.1355312736853476,1.0958262006210922,1.0468171834945679,0.9236794692838596,0.0005
14,1.122103205329513,1.0678377213342818,1.0333623886108398,0.9254673252025191,0.0005
15,1.1054830651610938,1.102949315444325,1.0502139329910278,0.9258224560899305,0.0005
16,1.0971860327571028,1.0524264131932417,1.0258783102035522,0.9265799347137859,0.0005
17,1.0838452438708037,1.0497406232471993,1.0245685577392578,0.9265514775343503,0.0005
18,1.0746644881132912,1.0713834042853292,1.0350764989852905,0.9262858949546805,0.0005
19,1.0629236356081029,1.02906318924013,1.0144274234771729,0.9278168496153842,0.0005
20,1.0531047155493152,1.0509633984429119,1.02516508102417,0.9277410928137829,0.0005
21,1.0453828903060287,1.0159642474346506,1.0079505443572998,0.9283920253956128,0.0005
22,1.0377993217947619,1.0472384762302764,1.0233466625213623,0.929123888269176,0.0005
23,1.0263523762416102,1.0182023088471228,1.009060025215149,0.929622429947094,0.0005
24,1.0210504053772675,0.9959430309037429,0.9979695081710815,0.9301532408305817,0.0005
25,1.0144340652709345,1.0183735291376028,1.009144902229309,0.9296638128982304,0.0005
26,1.004406582763921,1.0014101311839256,1.0007047653198242,0.9306588122729685,0.0005
27,0.9997065050774566,0.9995414049120752,0.9997707009315491,0.9307648644481343,0.0005
28,0.992962575625744,1.019344327453967,1.009625792503357,0.9312983969831287,0.00025
29,0.943565393819571,0.9516218420912063,0.9755110740661621,0.9334006550495813,0.00025
30,0.9295454411823421,0.9478407727973486,0.9735711812973022,0.9335153006487433,0.00025
31,0.9221850057479214,0.9746753553315257,0.9872564673423767,0.9331337892484264,0.00025
32,0.9190125461101415,0.9413805728730235,0.970247745513916,0.9339264148374813,0.00025
33,0.910476164115563,0.9414667236200546,0.9702920913696289,0.9341455149946356,0.00025
34,0.9082055173376867,0.935717785820986,0.9673250913619995,0.9345458119813259,0.00025
35,0.9052159883815537,0.9635557993186736,0.9816088080406189,0.9345659637993315,0.00025
36,0.9022640933732248,0.9508728404300856,0.975127100944519,0.9340834158554879,0.00025
37,0.8985754302610137,0.9376672646914781,0.9683322310447693,0.9346470596395278,0.00025
38,0.8914209108792389,0.9514608792992159,0.975428581237793,0.9345300809976167,0.000125
39,0.8692725817557441,0.9241835503339916,0.9613447189331055,0.9355973689335113,0.000125
40,0.8588781054745034,0.9216786565887404,0.9600409865379333,0.9355875287469378,0.000125
41,0.857744378871435,0.9215468394797329,0.9599723219871521,0.9357758566774969,0.000125
42,0.8544540037872258,0.9152350180659101,0.9566791653633118,0.935985574491505,0.000125
43,0.8506119525999055,0.9183004177246634,0.9582799077033997,0.9357465190455783,0.000125
44,0.8455541201781331,0.9151003788882495,0.956608772277832,0.9360388643574863,0.000125
45,0.8431777141956108,0.9166278750801925,0.9574068784713745,0.9364635433878565,0.000125
46,0.8412154594115173,0.9141623430207433,0.9561184048652649,0.9362847467740173,0.000125
47,0.8412032249354395,0.912300174201068,0.9551440477371216,0.9364665463247241,0.000125
48,0.8367432114248462,0.9035025450637528,0.9505274891853333,0.9364844151042595,0.000125
49,0.8355920230778537,0.9034056928273311,0.9504765272140503,0.9366306681763602,0.000125
50,0.8324454512258566,0.9001208339122863,0.9487469792366028,0.9368359506311367,0.000125
